id_solicitacao,idade,renda_mensal,tempo_emprego_meses,score_bureau,divida_renda,historico_atraso_12m,consultas_bureau_6m,valor_solicitado,num_parcelas,possui_imovel,tempo_relacionamento_banco_meses,canal,regiao,inadimplente
1,44,5369.12,24,608,0.292,0,0,17904.78,48,0,14,App,Nordeste,0
2,50,1984.12,8,778,0.058,1,1,17317.81,48,0,24,Agência,Centro-Oeste,0
3,35,4170.21,46,850,0.198,0,1,11084.0,12,0,26,App,Centro-Oeste,0
4,48,2148.53,2,538,0.648,0,5,5542.42,24,0,33,Agência,Sul,1
5,44,3966.98,52,833,0.155,1,0,9119.44,48,1,14,Correspondente,Sul,0
6,45,2274.03,96,520,0.078,0,0,4569.6,36,1,26,App,Sudeste,0
7,41,3220.99,16,831,0.316,0,2,9975.94,48,1,21,Agência,Sudeste,0
8,34,3296.73,0,679,0.099,0,1,22935.82,12,1,8,Agência,Sudeste,0
9,46,2430.69,16,850,0.681,0,2,5068.97,24,1,17,Agência,Nordeste,0
10,31,4930.83,139,691,0.032,1,2,9420.47,12,0,18,App,Sudeste,0
11,47,2565.99,41,636,0.208,0,1,14930.84,36,1,0,Correspondente,Sudeste,1
12,35,2443.85,16,528,0.365,0,1,10627.03,24,0,22,Agência,Centro-Oeste,0
13,36,4460.58,40,568,0.283,0,0,14248.95,36,0,51,App,Sudeste,0
14,18,3038.86,11,779,0.249,0,2,19979.79,24,0,74,App,Nordeste,0
15,42,2728.11,139,588,0.113,1,0,23591.32,24,0,64,Correspondente,Sul,0
16,57,4423.19,27,569,0.404,0,2,18217.92,24,1,28,App,Sudeste,0
17,30,2878.28,61,463,0.267,0,0,19255.4,48,0,4,App,Sudeste,0
18,51,2087.01,7,645,0.406,0,1,7141.9,24,0,6,App,Nordeste,0
19,43,7536.55,3,846,0.139,0,1,64661.21,24,0,9,App,Norte,0
20,43,4881.12,21,524,0.402,1,1,7969.26,36,0,26,Agência,Centro-Oeste,0
21,40,6557.8,15,744,0.215,1,3,28719.88,36,0,2,Agência,Nordeste,0
22,42,5269.73,18,734,0.402,1,0,38731.87,36,1,22,App,Sudeste,0
23,39,3025.47,121,384,0.293,1,3,16773.01,60,0,50,Agência,Nordeste,1
24,20,1490.6,19,598,0.271,0,1,11301.14,36,0,28,Agência,Nordeste,0
25,32,9300.09,160,620,0.319,0,1,18424.28,24,1,37,Agência,Nordeste,0
26,34,1297.09,50,559,0.523,1,1,3077.73,12,0,20,App,Sudeste,0
27,29,9269.86,29,769,0.285,0,2,32231.32,36,1,0,App,Sul,0
28,65,1812.13,33,578,0.241,0,1,7453.84,36,0,58,Agência,Sudeste,0
29,47,2888.61,204,657,0.087,0,1,6649.31,36,0,21,App,Sudeste,0
30,56,3567.17,52,634,0.424,0,0,31741.11,12,0,13,Agência,Centro-Oeste,0
31,46,2663.97,17,665,0.778,1,2,15855.96,12,0,103,Correspondente,Sudeste,0
32,58,4744.4,86,674,0.82,0,2,12277.81,24,1,61,App,Sudeste,0
33,67,4926.04,2,694,0.434,2,0,10811.4,24,0,1,App,Nordeste,1
34,38,5846.67,114,666,0.438,0,0,36464.45,24,1,79,Agência,Norte,0
35,44,3791.1,67,668,0.389,0,1,32857.43,48,0,33,App,Sudeste,0
36,41,4915.54,4,503,0.312,0,1,23999.49,36,1,68,App,Sul,0
37,27,5023.37,10,737,0.119,0,2,41140.91,48,0,14,Correspondente,Sudeste,0
38,35,6923.7,9,702,0.165,0,1,48700.9,48,0,94,App,Sul,0
39,25,2508.53,15,607,0.26,0,0,6795.38,12,1,8,Agência,Norte,0
40,37,9488.21,20,648,0.372,0,1,31839.05,60,0,10,App,Nordeste,0
41,40,3420.71,61,765,0.306,0,2,5433.78,36,0,79,App,Sudeste,0
42,30,4052.56,28,636,0.194,0,2,19954.79,36,0,114,App,Sudeste,0
43,26,2678.5,29,639,0.32,2,2,8223.84,48,0,3,App,Nordeste,0
44,41,4052.16,126,664,0.258,0,2,13058.33,48,1,54,Agência,Sudeste,0
45,37,4036.63,2,681,0.661,1,3,24000.49,48,0,8,Correspondente,Nordeste,0
46,43,1472.82,34,677,0.361,0,1,6085.34,48,0,69,Correspondente,Sudeste,0
47,30,3070.06,107,555,0.458,0,0,17393.48,24,0,23,App,Sudeste,1
48,29,3674.66,67,649,0.363,1,1,29554.04,12,1,12,App,Sudeste,0
49,24,1363.9,25,611,0.294,1,1,3000.49,36,0,45,Agência,Sudeste,1
50,40,2735.4,116,573,0.101,0,0,8564.84,36,1,9,Agência,Centro-Oeste,0
51,42,2144.73,53,779,0.451,0,0,19107.06,48,0,20,App,Sudeste,0
52,40,5881.17,25,850,0.464,1,4,11243.66,48,0,6,App,Sudeste,0
53,25,1485.58,25,700,0.667,0,3,8945.34,12,0,76,Agência,Nordeste,0
54,32,4898.37,17,665,0.44,1,1,13038.23,48,0,22,App,Nordeste,0
55,45,2604.93,16,703,0.585,0,1,12893.99,36,1,30,Agência,Norte,0
56,32,4842.85,10,741,0.07,0,2,39798.86,60,0,1,App,Sul,0
57,31,4544.59,13,777,0.384,0,1,32708.99,48,0,25,Correspondente,Sul,0
58,45,3460.65,57,702,0.126,0,2,25101.93,36,0,34,App,Sudeste,0
59,44,3215.02,30,644,0.185,0,3,17636.92,24,1,8,Agência,Sudeste,0
60,32,3911.25,20,670,0.406,2,1,19498.64,36,0,8,App,Centro-Oeste,0
61,46,2524.78,20,797,0.259,0,3,6228.76,48,0,23,App,Sudeste,0
62,49,3224.0,18,813,0.409,0,2,17135.35,12,1,27,Correspondente,Norte,0
63,28,5262.18,48,654,0.069,1,1,45865.8,12,0,1,App,Norte,0
64,41,5305.71,20,834,0.182,0,0,33723.04,48,1,2,Agência,Nordeste,0
65,36,10470.2,40,611,0.609,1,2,45256.18,36,0,14,Correspondente,Nordeste,0
66,18,15806.91,18,753,0.083,0,0,67112.48,36,0,59,Agência,Nordeste,0
67,42,2837.64,19,682,0.333,1,2,12726.83,24,1,17,App,Sul,0
68,18,2127.31,29,850,0.166,0,0,3402.68,24,1,66,Agência,Norte,0
69,48,3788.81,20,812,0.171,1,1,7284.91,48,0,52,App,Nordeste,0
70,54,1200.0,161,596,0.166,0,2,7866.41,36,0,12,App,Nordeste,0
71,28,6327.31,115,665,0.223,0,2,51694.02,48,0,1,App,Sul,0
72,53,3877.88,122,593,0.137,1,1,13976.8,60,0,72,Agência,Sudeste,0
73,28,4092.74,32,711,0.08,0,0,36727.32,36,0,21,Agência,Nordeste,0
74,46,4832.84,125,575,0.353,1,1,28157.01,36,1,172,Agência,Nordeste,0
75,56,3102.56,4,649,0.454,0,0,12158.53,60,0,57,App,Sul,0
